masked_id,check_bal_altered,sav_bal_altered
30,9855.77,286410.1
40,10179.41,65608.84
40,7831.63,63425.84
40,9461.5,67547.82
40,9537.08,78896.17
40,7409.82,79866.39
40,10367.77,88168.05
24,15128.45,121455.48
24,15213.71,121454.45
24,17543.38,121453.45
24,19753,121452.41
24,4546.39,121451.42
24,6034.06,121450.25
43,31584.1,55485.35
43,28453.89,67123.73
43,24798.08,67122.19
43,22239.83,67120.43
43,20515.62,67118.66
43,17782.81,67117.11
3,289952.76,89895.84
3,277380.34,88337.9
3,272161.33,88193.23
3,277602.69,87509.93
3,273717.25,84660.36
3,263610.37,83980.71
8,75964.48,243259.9
8,60725.85,296607.52
8,60811.69,296605.07
8,60897.57,296602.56
8,60725.7,296283.84
8,59365.37,310831.19
49,20656.83,6794.9
49,16100.55,13584.54
49,17798.92,13583.88
49,20381.14,13583.19
49,33760.2,13582.52
49,35411.38,13581.83
25,0,0
25,0,0
25,0,0
25,413.74,9998.45
25,865.5,9998.32
25,4662.81,29883.09
19,8336.56,107676.22
19,7030.96,104765.39
19,6237.13,101854.58
19,6925.01,106703.79
19,6395.89,104763.46
19,6393.02,103307.13
9,2492.85,29270.17
9,2356.56,29197.24
9,1216.54,29884.54
9,1672.84,29714.61
9,1403.35,29544.67
9,2506.5,30247.74
31,5188.75,64027.24
31,3641.89,61597.87
31,3292.43,59655.45
31,1614.11,57710.13
31,1270.34,55592.36
31,1687.05,53120.65
15,4980.74,309986.31
15,4235.36,314660.31
15,3971.1,318725.7
15,4364.25,287344.84
15,8508.95,169238.81
15,7346.57,182377.04
28,3095.5,1756.24
28,5103.25,1693.16
28,7462.76,5320.93
28,5254.13,7900.56
28,3171.77,3995.63
28,3824.63,23744.62
17,25040.45,2547.25
17,37477.99,2547.08
17,35835.89,10791.6
17,36408.8,10790.88
17,46631.27,21945.17
17,34515.89,21943.67
22,8226.96,190208.37
22,6845.62,203737.35
22,6202.7,208578.85
22,9233.05,214389.88
22,6453.7,215351.01
22,11935.46,223320.33
50,400.75,15970.88
50,340.04,16744.8
50,413.71,17511.93
50,554.73,18348.89
50,206.28,19227.56
50,152.71,20138.23
45,20.13,2276.78
45,16.19,4579.53
45,47.65,5682.38
45,6.85,7027.72
45,57.85,8615.54
45,6.85,12881.17
2,108.42,373.33
2,1077.95,1847.4
2,592.26,4000.77
2,1166.05,8974.87
2,1151.65,15401.57
2,4302.91,21782.07
10,825.1,123426.33
10,6139.3,116330.03
10,-0.93,113333.33
10,2316.35,109571
10,4203.46,103992.87
10,5384.45,90594.63
36,44116.16,116852.48
36,41364.72,125479.6
36,77833.76,119159.06
36,167974.64,154756.88
36,33685.14,44224.72
36,95579.78,26229.4
13,1822.34,40142.23
13,2548.88,35991.7
13,2292.33,35923.35
13,1830.12,40288.03
13,2138.46,36923.46
13,3099.44,35954.91
16,907.01,3793.02
16,1245.47,4277.93
16,1490.66,6702.76
16,1645.82,16402.41
16,980.29,18826.9
16,1019.61,21736.63
38,51341.36,476176.17
38,50646.5,476546.77
38,30923.9,724925.45
38,44710.53,724809
38,88442.67,728954.74
38,45098.11,749191.64
1,6642.5,31265.61
1,10488.1,36489.03
1,12193.84,31643.84
1,8228.42,38493.89
1,762.69,47539.18
1,4303.96,42494.87
29,27169.93,45802.36
29,24720.15,45801.91
29,23738.77,45801.49
29,23266.9,45801.03
29,19214.39,45800.56
29,16668.51,45800.14
48,3587.72,17023.05
48,4048.8,13868.47
48,9798.7,12937.64
48,831.81,18394.72
48,3432.06,19120.13
48,3695.67,20872.59
